Timestamp,Demand,Price,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2025-01-01 00:00:00,1.7652,4.64,8.46,6.13,7.2925,5.95,85.075,0.299,98.815,12.8925,237.45
2025-01-01 01:00:00,0.505,2.34,8.355,6.195,7.2775,5.9825,86.14,0.625,98.8,12.255,239.825
2025-01-01 02:00:00,0,2.68,8.1125,6.1975,7.15,5.985,87.6125,1.0085,98.8,11.32,246
2025-01-01 03:00:00,0,2.1,7.6125,6.045,6.825,5.925,89.7375,0.934,98.8025,9.5875,258.5
2025-01-01 04:00:00,0,2.34,6.81,5.425,6.1175,5.68,90.8775,1.4235,98.8275,7.51,291.475
2025-01-01 05:00:00,0.1348,1.79,5.8075,4.365,5.085,5.2625,90.3425,1.79,98.91,8.355,345.725
2025-01-01 06:00:00,1.5027,3.83,5.2125,3.5275,4.365,4.9525,88.7625,2.139,99.0275,11.5225,14.3
2025-01-01 07:00:00,1.509,6.37,5.1825,3.065,4.12,4.7875,86.0975,3.265,99.14,12.61,24.675
2025-01-01 08:00:00,1.5878,4.33,5.27,2.795,4.0325,4.6925,83.9825,3.365,99.265,12.5125,25.35
2025-01-01 09:00:00,1.5626,5.66,5.3575,2.5075,3.9325,4.5875,81.72,1.9035,99.3975,12.16,21.825
2025-01-01 10:00:00,0.6983,7.73,5.47,2.2425,3.8575,4.495,79.545,1.12,99.5075,12.005,16.2
2025-01-01 11:00:00,0.807,12.68,5.5625,1.84,3.705,4.365,76.83,0.7325,99.615,12.125,8.975
2025-01-01 12:00:00,2.4074,20.44,5.52,1.22,3.37,4.1675,73.65,0.331,99.7175,12.17,1.975
2025-01-01 13:00:00,1.7614,20.6,5.3325,0.925,3.1275,4.0775,73.0975,0.2335,99.8275,11.735,356.1
2025-01-01 14:00:00,1.7604,22.01,5.1775,1.115,3.1425,4.125,74.84,0.436,99.94,11.18,351.075
2025-01-01 15:00:00,8.299,21.35,5,1.44,3.22,4.22,77.605,0.7085,100.06,10.9825,347.075
2025-01-01 16:00:00,0,29.22,4.85,1.685,3.2675,4.29,79.81,1.0575,100.1825,10.8775,344.875
2025-01-01 17:00:00,2.316,31.68,4.875,1.775,3.325,4.315,80.235,1.189,100.31,10.705,343.475
2025-01-01 18:00:00,5.0498,31.03,4.9325,1.6875,3.31,4.285,79.4625,1.1935,100.4325,10.6425,341.4
2025-01-01 19:00:00,5.4468,23.92,4.78,1.5825,3.1825,4.245,79.6725,1.011,100.5625,10.57,338.225
2025-01-01 20:00:00,5.2652,22.49,4.4,1.685,3.045,4.27,82.4,0.9565,100.6825,10.4925,335.55
2025-01-01 21:00:00,2.8582,21.44,4.125,1.7325,2.925,4.2825,84.3175,0.9715,100.77,10.43,334.275
2025-01-01 22:00:00,0,18.18,3.985,1.445,2.715,4.195,83.4725,0.665,100.85,10.365,333.025
2025-01-01 23:00:00,1.31,20.9,3.8375,1.0525,2.445,4.075,81.9975,0.41,100.925,10.2275,330.45
2025-01-02 00:00:00,2.8433,24.45,3.715,0.9225,2.32,4.0325,81.8975,0.2935,100.9775,10.1125,327.075
2025-01-02 01:00:00,0.159,22.49,3.715,0.9625,2.3425,4.04,82.075,0.375,101.01,10.0975,324.1
2025-01-02 02:00:00,0,21.04,3.635,0.955,2.295,4.035,82.475,0.499,101.055,10.2425,322.2
2025-01-02 03:00:00,0,19.71,3.515,0.9125,2.2125,4.0225,82.9675,0.7085,101.11,10.295,320.625
