Timestamp,Demand,Price,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,hour,hour_sin,hour_cos,Demand_lag_24,Demand_lag_1,Demand_window_2_mean,Demand_window_2_std,Demand_window_2_kurt,Demand_window_2_skew,Demand_window_3_mean,Demand_window_3_std,Demand_window_3_kurt,Demand_window_3_skew,Price_lag_1,Price_lag_24,Price_window_2_mean,Price_window_2_std,Price_window_2_kurt,Price_window_2_skew,Price_window_3_mean,Price_window_3_std,Price_window_3_kurt,Price_window_3_skew
2024-01-01 00:00:00,0.0,11.18,5.84,4.395,5.115,5.3025,90.4025,2.504,98.415,2.8025,27.825,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,12.79,5.725,4.21,4.9725,5.23,89.9325,1.4435,98.4725,2.6475,13.575,1,0.2698,0.9629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,7.64,5.67,3.995,4.835,5.145,88.86,0.735,98.5225,2.4625,179.8,2,0.5196,0.8544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,6.18,5.7825,3.725,4.75,5.045,86.515,0.42,98.575,2.2125,345.725,3,0.7308,0.6826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,0.0,11.985,1.1384,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,2.67,5.9875,3.415,4.7,4.9375,83.535,0.4225,98.635,1.9825,325.05,4,0.8879,0.4601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,0.0,10.215,3.6416,0.0,0.0,10.5367,2.6346,0.0,-1.0333
2024-01-01 05:00:00,0.9854,3.78,6.16,3.1025,4.6275,4.82,80.635,0.3875,98.6975,2.1125,297.7,5,0.9791,0.2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,6.91,1.0324,0.0,0.0,8.87,3.4724,0.0,1.394
2024-01-01 06:00:00,1.6396,3.68,6.2575,2.925,4.5925,4.7575,79.11,0.22,98.765,2.66,278.05,6,0.9977,-0.0682,0.0,0.9854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,4.425,2.4819,0.0,0.0,5.4967,2.5545,0.0,-1.1176
2024-01-01 07:00:00,1.6737,7.88,6.2575,2.93,4.5975,4.7575,79.1625,0.091,98.8275,3.36,268.5,7,0.9423,-0.3349,0.0,1.6396,0.4927,0.6968,0.0,0.0,0.3285,0.5689,0.0,1.7321,3.68,0.0,3.225,0.7849,0.0,0.0,4.21,1.7941,0.0,1.0166
2024-01-01 08:00:00,1.6263,10.4,6.1325,3.015,4.575,4.7875,80.41,0.0635,98.8975,3.945,265.575,8,0.817,-0.5767,0.0,1.6737,1.3125,0.4626,0.0,0.0,0.875,0.8254,0.0,-0.5912,7.88,0.0,3.73,0.0707,0.0,0.0,3.3767,0.614,0.0,-1.6805
2024-01-01 09:00:00,1.5862,13.86,5.9625,3.115,4.5425,4.8175,81.915,0.0575,98.965,4.3125,266.775,9,0.6311,-0.7757,0.0,1.6263,1.6566,0.0241,0.0,0.0,1.4329,0.3879,0.0,-1.717,10.4,0.0,5.78,2.9698,0.0,0.0,5.1133,2.3965,0.0,1.7287
