Timestamp,Demand,Price,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2024-01-01 00:00:00,0,11.18,5.84,4.395,5.115,5.3025,90.4025,2.504,98.415,2.8025,27.825
2024-01-01 01:00:00,0,12.79,5.725,4.21,4.9725,5.23,89.9325,1.4435,98.4725,2.6475,13.575
2024-01-01 02:00:00,0,7.64,5.67,3.995,4.835,5.145,88.86,0.735,98.5225,2.4625,179.8
2024-01-01 03:00:00,0,6.18,5.7825,3.725,4.75,5.045,86.515,0.42,98.575,2.2125,345.725
2024-01-01 04:00:00,0,2.67,5.9875,3.415,4.7,4.9375,83.535,0.4225,98.635,1.9825,325.05
2024-01-01 05:00:00,0.9854,3.78,6.16,3.1025,4.6275,4.82,80.635,0.3875,98.6975,2.1125,297.7
2024-01-01 06:00:00,1.6396,3.68,6.2575,2.925,4.5925,4.7575,79.11,0.22,98.765,2.66,278.05
2024-01-01 07:00:00,1.6737,7.88,6.2575,2.93,4.5975,4.7575,79.1625,0.091,98.8275,3.36,268.5
2024-01-01 08:00:00,1.6263,10.4,6.1325,3.015,4.575,4.7875,80.41,0.0635,98.8975,3.945,265.575
2024-01-01 09:00:00,1.5862,13.86,5.9625,3.115,4.5425,4.8175,81.915,0.0575,98.965,4.3125,266.775
2024-01-01 10:00:00,0.7792,13.09,6.0125,3.235,4.625,4.8525,82.27,0.0425,99.0225,4.465,270.75
2024-01-01 11:00:00,3.513,16.38,6.19,3.425,4.8125,4.91,82.27,0.0175,99.0725,4.4175,274.825
2024-01-01 12:00:00,5.5125,13.95,6.355,3.625,4.995,4.9825,82.5775,0.01,99.1175,4.2825,277.85
2024-01-01 13:00:00,2.3341,17.63,6.3675,3.72,5.0475,5.015,83.0725,0.009,99.1525,4.1275,277.85
2024-01-01 14:00:00,0,16.42,6.23,3.655,4.9425,4.9875,83.4375,0.005,99.195,3.8775,274.7
2024-01-01 15:00:00,0,16.16,6.11,3.505,4.8075,4.935,83.265,0.005,99.2075,3.235,271.2
2024-01-01 16:00:00,0,25.44,6.155,3.3125,4.7325,4.87,81.9025,0.005,99.1875,2.0525,261.4
2024-01-01 17:00:00,2.224,25.56,6.3325,3.17,4.7475,4.8225,80.075,0.005,99.14,1.135,216.075
2024-01-01 18:00:00,4.5774,22.42,6.485,3.4025,4.945,4.91,80.635,0.005,99.0975,2.07,143
2024-01-01 19:00:00,4.9121,14.15,6.595,3.975,5.2875,5.1125,83.2625,0.005,99.04,3.955,131.725
2024-01-01 20:00:00,7.3497,13.47,6.755,4.5125,5.63,5.31,85.4575,0.005,98.96,5.74,131.425
2024-01-01 21:00:00,0,14.03,6.965,4.8675,5.915,5.45,86.375,0.0065,98.875,7.065,131.35
2024-01-01 22:00:00,0,8.56,7.1375,5.0375,6.0825,5.5225,86.3975,0.011,98.7725,8.0075,127.9
2024-01-01 23:00:00,0,4.77,7.2575,5.125,6.1875,5.5625,86.205,0.02,98.6575,8.79,123.5
2024-01-02 00:00:00,1.14,3.72,7.2675,5.11,6.1875,5.56,85.9975,0.0475,98.5325,9.3775,120.55
2024-01-02 01:00:00,0,2.73,7.225,4.96,6.09,5.5075,85.3525,0.126,98.4275,9.8,118.775
2024-01-02 02:00:00,0,4.19,7.21,4.7425,5.98,5.4275,84.1325,0.4025,98.345,10.13,117.95
2024-01-02 03:00:00,0.0023,3.64,7.2075,4.63,5.92,5.39,83.5125,1.2365,98.2875,10.2325,115.925
2024-01-02 04:00:00,0.034,5.98,7.165,4.6525,5.9125,5.4,83.8675,2.884,98.2375,10.335,113.35
2024-01-02 05:00:00,1.2445,5.89,6.9975,4.72,5.8575,5.43,85.2725,5.374,98.1925,10.67,111.65
2024-01-02 06:00:00,2.4423,12.13,6.74,4.74,5.7375,5.4375,86.895,8.9115,98.1625,11.195,111.175
2024-01-02 07:00:00,2.5016,15.07,6.5225,4.8775,5.7025,5.4925,89.0575,11.0325,98.1275,11.605,109.4
2024-01-02 08:00:00,7.2435,17.02,6.555,5.205,5.875,5.6275,90.9675,10.046,98.0675,11.93,106.3
2024-01-02 09:00:00,5.9511,18.48,6.79,5.53,6.1575,5.7575,91.5,7.81,97.9825,12.045,105.325
2024-01-02 10:00:00,4.1701,16.94,7.0425,5.7075,6.3775,5.835,91.065,7.04,97.91,11.885,110.25
2024-01-02 11:00:00,1.208,19.71,7.225,5.94,6.58,5.9375,91.43,4.6,97.825,11.07,115.6
2024-01-02 12:00:00,1.8505,19.19,7.44,6.19,6.82,6.05,91.6875,2.1735,97.7175,9.4575,117.7
2024-01-02 13:00:00,1.8503,19.74,7.625,6.4525,7.0425,6.165,92.14,1.159,97.5975,7.62,117.4
2024-01-02 14:00:00,1.9001,18.5,7.7375,6.63,7.185,6.25,92.62,0.6015,97.52,6.085,116.325
2024-01-02 15:00:00,0.9367,16.87,7.7775,6.725,7.255,6.295,92.995,0.455,97.4875,5.13,116.95
2024-01-02 16:00:00,0,24.03,7.84,6.88,7.36,6.36,93.5425,0.451,97.4825,4.6625,122.425
2024-01-02 17:00:00,1.194,22.38,7.875,7.0825,7.48,6.445,94.5825,0.6165,97.5,4.37,130.5
2024-01-02 18:00:00,2.3378,21.75,7.9025,7.2875,7.5975,6.54,95.83,0.745,97.54,4.2025,137.3
2024-01-02 19:00:00,2.2316,16.23,7.9625,7.465,7.71,6.615,96.57,0.875,97.58,4.29,139.275
2024-01-02 20:00:00,2.2671,16.52,8.065,7.6,7.8325,6.6725,96.7725,1.519,97.6225,4.595,136.675
2024-01-02 21:00:00,2.2678,15.27,8.21,7.7125,7.9625,6.72,96.545,2.8485,97.665,5.345,132
2024-01-02 22:00:00,2.2154,13.28,8.355,7.795,8.08,6.7575,96.15,4.3525,97.685,6.495,129.625
2024-01-02 23:00:00,0,16.35,8.4025,7.79,8.1,6.755,95.835,5.3925,97.7125,7.61,128.85
2024-01-03 00:00:00,0,17.51,8.25,7.5475,7.8975,6.6375,95.195,7.714,97.7625,8.45,128.5
2024-01-03 01:00:00,0,17.44,7.965,7.175,7.5675,6.4675,94.6375,11.9135,97.82,9.0875,126.65
2024-01-03 02:00:00,0,16.49,7.6325,6.735,7.1875,6.2725,93.9625,16.24,97.8975,9.935,125.6
2024-01-03 03:00:00,0,16.71,7.1925,6.125,6.66,6.0075,92.8325,19.5935,97.9675,11.0075,125.025
2024-01-03 04:00:00,0,15.44,6.73,5.5825,6.16,5.7775,92.24,20.4185,98.0325,11.775,123.075
2024-01-03 05:00:00,1.3215,16.97,6.355,5.1875,5.77,5.62,92.1375,16.764,98.0875,12.1375,122.325
2024-01-03 06:00:00,1.6441,16.99,6.2125,4.9175,5.5625,5.51,91.29,11.7825,98.1525,12.1825,122.025
2024-01-03 07:00:00,1.7105,17.29,6.2,4.7425,5.475,5.4425,90.3125,8.239,98.21,12.1325,121.75
2024-01-03 08:00:00,1.7343,17.32,6.235,4.675,5.455,5.4125,89.67,6.261,98.2875,12.0225,121.625
2024-01-03 09:00:00,5.4145,17.51,6.245,4.6025,5.425,5.3775,89.0925,4.7865,98.36,11.9,121.65
2024-01-03 10:00:00,0,17.49,6.2225,4.4725,5.3525,5.3225,88.39,3.359,98.435,11.7275,121.35
2024-01-03 11:00:00,0,17.89,6.195,4.27,5.2375,5.2475,87.365,2.1685,98.49,11.5025,120.85
2024-01-03 12:00:00,1.6163,18.04,6.185,4.04,5.1175,5.16,86.0025,1.354,98.525,11.2275,120.8
2024-01-03 13:00:00,1.6788,17.88,6.21,3.84,5.0275,5.0825,84.59,0.8925,98.5525,10.96,121.225
2024-01-03 14:00:00,1.9761,17.41,6.2275,3.66,4.94,5.0175,83.4475,0.72,98.605,10.8125,121.725
2024-01-03 15:00:00,2.2438,17.98,6.1575,3.5475,4.8525,4.9725,83.155,0.6475,98.665,10.835,122.35
2024-01-03 16:00:00,1.013,26.36,6.035,3.475,4.755,4.9475,83.495,0.575,98.725,10.8825,123.35
2024-01-03 17:00:00,1.139,26.27,5.95,3.455,4.7025,4.9375,83.8675,0.675,98.7825,10.93,124.525
2024-01-03 18:00:00,2.088,24.35,5.93,3.4475,4.6875,4.9325,83.945,0.966,98.8325,11.13,126.3
2024-01-03 19:00:00,2.136,18.4,5.9675,3.5125,4.7375,4.955,84.15,1.746,98.8825,11.43,128.325
2024-01-03 20:00:00,2.2107,17.19,5.9525,3.7025,4.8325,5.0225,85.4225,4.9185,98.9275,11.655,130.5
2024-01-03 21:00:00,2.2109,17.35,5.78,3.88,4.8325,5.085,87.55,10.744,98.96,11.8225,133.15
2024-01-03 22:00:00,1.1583,16.55,5.61,3.88,4.74,5.08,88.54,13.43,99,11.9075,136.575
2024-01-03 23:00:00,0,16.06,5.6575,4.0275,4.84,5.13,89.1425,10.3785,99.0375,11.8625,140
2024-01-04 00:00:00,0,16.41,5.735,4.265,5.005,5.215,90.15,7.3865,99.065,11.82,143
2024-01-04 01:00:00,0,16.6,5.885,4.555,5.225,5.325,91.1175,6.4215,99.09,11.6825,145.475
2024-01-04 02:00:00,0,15.72,6.2125,4.97,5.595,5.4775,91.6425,5.711,99.125,11.3075,148.425
2024-01-04 03:00:00,0,15.22,6.6375,5.495,6.0675,5.675,92.2125,4.626,99.1425,10.6525,151.925
